comparison,metric,n_pairs,mean_a,mean_b,mean_diff_a_minus_b,sd_diff,cohen_dz,paired_t_p,wilcoxon_p,ci95_diff_lo,ci95_diff_hi,holm_adj_p,test_used_for_holm,experiment
quad_bank vs no_quad_baseline,test_acc,30,0.9356512141280352,0.8201986754966887,0.11545253863134661,0.058725455736837066,1.9659709266236653,1.1997288819435826e-11,2.60770320892334e-08,0.09352409307529548,0.13738098418739772,2.60770320892334e-08,wilcoxon_p,Exp01_CircleBoundary
raw vs improved,two_pi_error,30,0.05478389226700751,0.05433185452129465,0.0004520377457128535,0.0006369819445652579,0.7096555084012164,0.0005433448856196316,0.0027663204818964005,0.0002141847786080784,0.0006898907128176287,0.005532640963792801,wilcoxon_p,Exp03_Circumference
raw vs improved,test_rmse,30,0.7490220481032314,4.3289814433186296,-3.5799593952153987,7.754588453139353,-0.46165691665636943,0.017150571666302187,0.00013739429414272308,-6.4755703116511345,-0.6843484787796634,0.00041218288242816925,wilcoxon_p,Exp03_Circumference
raw vs improved,k_canonical,30,6.6274026541417586,6.624562417219606,0.002840236922152369,0.004002275595030623,0.7096555084009993,0.0005433448856213729,0.0027663204818964005,0.0013457626539707585,0.004334711190333979,0.005532640963792801,wilcoxon_p,Exp03_Circumference
model_A vs model_E,test_rmse,15,13160.308999310279,20.02531309150015,13140.28368621878,16937.257896972696,0.7758211964504258,0.009462142424996538,6.103515625e-05,3760.7428981553403,22519.82447428222,0.000244140625,wilcoxon_p,Exp07_OperatorAblation
model_B vs model_E,test_rmse,15,1179.3446957787403,20.02531309150015,1159.31938268724,953.1247665258682,1.2163353879817325,0.00033426463686241607,0.0014737808438751421,631.4964801771057,1687.1422851973743,0.0014737808438751421,wilcoxon_p,Exp07_OperatorAblation
model_C vs model_E,test_rmse,12,1075.8337940126132,19.79861178079675,1056.0351822318162,878.4778039787844,1.2021193676708077,0.0015779369918952023,0.00048828125,497.8770145931127,1614.1933498705198,0.0009765625,wilcoxon_p,Exp07_OperatorAblation
model_D vs model_E,test_rmse,15,1979.9031128742245,20.02531309150015,1959.8777997827247,1108.5595664266843,1.7679499227093116,7.96903595970026e-06,6.103515625e-05,1345.9779741707248,2573.7776253947245,0.000244140625,wilcoxon_p,Exp07_OperatorAblation
none vs r50k,test_rmse,12,2055.3166162833486,20.71789525162866,2034.5987210317198,1090.9718372876205,1.8649415608107256,4.6751551977961724e-05,0.00048828125,1341.4282858904876,2727.769156172952,0.001953125,wilcoxon_p,Exp08_PruningAblation
r0 vs r50k,test_rmse,12,1942.3305158470455,20.71789525162866,1921.612620595417,971.0240233736764,1.9789547676885109,2.7448599203262656e-05,0.00048828125,1304.6533904763803,2538.571850714454,0.001953125,wilcoxon_p,Exp08_PruningAblation
r10k vs r50k,test_rmse,12,311.4998544490999,20.71789525162866,290.7819591974713,710.3769250191755,0.4093347474506187,0.1838989231156806,0.0341796875,-160.57000553708144,742.133923932024,0.0341796875,wilcoxon_p,Exp08_PruningAblation
r1k vs r50k,test_rmse,12,1500.668536755319,20.71789525162866,1479.9506415036901,1002.8652820191935,1.475722280986656,0.0003376313436430149,0.0009765625,842.7604408349171,2117.140842172463,0.001953125,wilcoxon_p,Exp08_PruningAblation
factor_1.05 vs factor_1,compression,10,0.9409420289855073,0.9358695652173912,0.005072463768115898,0.016040538855926424,0.31622776601683794,0.34343639613791355,0.31731050786291415,-0.006402246478245376,0.016547174014477174,0.6346210157258283,wilcoxon_p,Exp10_PruneTolerance
factor_1.1 vs factor_1,compression,10,0.947463768115942,0.9358695652173912,0.011594202898550699,0.03666408881354634,0.316227766016838,0.34343639613791355,0.31731050786291415,-0.014633706235989518,0.03782211203309092,0.6346210157258283,wilcoxon_p,Exp10_PruneTolerance
factor_1.25 vs factor_1,compression,10,0.9608695652173914,0.9358695652173912,0.0250000000000001,0.049012096281706184,0.5100781622623919,0.1412009224041704,0.06788915486182899,-0.01006114155208386,0.06006114155208406,0.33944577430914497,wilcoxon_p,Exp10_PruneTolerance
factor_1.5 vs factor_1,compression,10,0.9597826086956524,0.9358695652173912,0.023913043478261,0.055718098701463555,0.42917910042814994,0.207778974911513,0.1755543027732298,-0.01594528321637091,0.0637713701728929,0.5266629083196894,wilcoxon_p,Exp10_PruneTolerance
factor_2 vs factor_1,compression,10,0.9739130434782611,0.9358695652173912,0.0380434782608697,0.06077771806804896,0.6259444985788185,0.079134690971243,0.06788915486182899,-0.005434282089321438,0.08152123861106084,0.33944577430914497,wilcoxon_p,Exp10_PruneTolerance
hsm vs dtree_noFE,test_rmse,10,21.545184887449654,6263.787218290941,-6242.242033403492,562.2535996557574,-11.102182426622678,6.099151002485093e-11,0.001953125,-6644.454028834041,-5840.030037972943,0.017578125,wilcoxon_p,Exp11_Baselines
hsm vs gboost_noFE,test_rmse,10,21.545184887449654,4267.804112536485,-4246.258927649034,484.11929448732474,-8.771100379599124,4.997106482967549e-10,0.001953125,-4592.577008282745,-3899.940847015324,0.017578125,wilcoxon_p,Exp11_Baselines
hsm vs lasso_poly2_priorFE,test_rmse,10,21.545184887449654,19.89165692898701,1.6535279584626383,2.990097655035185,0.553001322775587,0.11426934926772732,0.048828125,-0.48545904864632283,3.7925149655715993,0.09765625,wilcoxon_p,Exp11_Baselines
hsm vs linreg_noFE,test_rmse,10,21.545184887449654,48761.61599923272,-48740.070814345265,5094.189449463994,-9.567777425214064,2.3024389480704022e-10,0.001953125,-52384.23441743227,-45095.90721125826,0.017578125,wilcoxon_p,Exp11_Baselines
hsm vs mlp_dense,test_rmse,10,21.545184887449654,17672.474479268836,-17650.929294381385,19946.468113282215,-0.8849150232580651,0.020768645562055918,0.001953125,-31919.773009294033,-3382.0855794687377,0.017578125,wilcoxon_p,Exp11_Baselines
hsm vs mlp_pruned,test_rmse,10,21.545184887449654,15711.330268021324,-15689.785083133876,20479.189694108354,-0.7661330998680901,0.03843842781206251,0.001953125,-30339.71485985953,-1039.8553064082244,0.017578125,wilcoxon_p,Exp11_Baselines
hsm vs mlp_sk_noFE,test_rmse,10,21.545184887449654,70950.51721657957,-70928.97203169213,35496.71215930196,-1.9981842744583627,0.00013787152081583024,0.001953125,-96321.79021472907,-45536.15384865519,0.017578125,wilcoxon_p,Exp11_Baselines
hsm vs poly2_priorFE,test_rmse,10,21.545184887449654,19.89002336816983,1.6551615192798184,2.985656227398627,0.5543710974126262,0.11349309630933566,0.048828125,-0.48064828189688313,3.79097132045652,0.09765625,wilcoxon_p,Exp11_Baselines
hsm vs rforest_noFE,test_rmse,10,21.545184887449654,2919.856874201623,-2898.3116893141737,631.5196924460191,-4.589424089197211,1.502058745263258e-07,0.001953125,-3350.073662573066,-2446.5497160552814,0.017578125,wilcoxon_p,Exp11_Baselines
